daysOfTraining,refToMaterials,averageScore,numOfIntermediateClasses,final_result_-1_0_1
33,86,71.00215542,4,1
23,35,52.70865797,2,1
17,21,33.71761805,1,1
24,32,30.2078872,2,1
37,61,64.48486363,4,0
51,39,56.03332567,4,0
33,40,73.53727819,5,1
27,67,67.68564677,3,0
44,60,77.09304697,5,1
22,39,73.60662562,2,1
49,34,74.12410094,4,1
21,26,31.22678198,2,0
46,92,56.54958765,5,-1
46,36,84.38364465,1,1
53,58,70.941597,5,-1
34,47,90.05754367,4,-1
22,26,24.56293924,1,-1
35,80,79.70970759,5,-1
35,29,59.37985932,1,0
54,38,100,5,1
17,9,23.93256021,0,0    
29,52,87.73015015,4,1
42,27,84.09957595,4,1
35,94,57.66334194,4,0
45,53,60.48797448,3,-1
20,34,65.63675289,0,1
22,37,50.13229143,2,1
19,67,78.75859559,4,-1
24,29,27.52793842,2,1
36,88,75.43335976,5,1
24,39,36.81267743,1,0
20,13,66.65274348,1,1
10,15,58.33190193,2,1
30,66,81.75447782,3,1
34,23,39.46516177,1,1
30,42,38.36846066,0,1
24,26,24.69003616,1,0
46,70,64.77930164,4,-1
23,31,42.37923961,1,1
51,84,81.13714557,5,0
23,84,88.54775612,4,-1
28,64,78.15745818,3,-1
30,26,52.24994628,2,1
20,38,44.57733537,0,1
57,53,77.36708059,5,-1
63,55,77.29211849,5,0
48,37,78.81971305,3,-1
26,21,70.04591709,3,-1
19,56,80.89992579,3,-1
44,58,78.61519428,5,0
33,87,67.10447197,4,-1
25,29,53.34932072,2,1
29,26,54.06172249,1,1
17,70,78.87516913,5,0
47,79,73.50831562,4,-1
17,27,36.196851,0,1
39,62,74.79784415,4,-1
40,50,92.66491949,3,0
17,39,54.57959379,2,1
36,41,67.66886365,4,-1
47,65,88.95106563,4,0
52,54,88.42998898,3,-1
27,81,67.71777291,4,-1
14,32,53.57387727,0,0
19,45,59.54159439,1,1
6,11,26.37369401,1,1
29,69,71.28423209,5,-1
7,36,33.31306309,1,1
49,61,68.64870864,5,-1
59,60,82.61569537,4,0
45,52,58.31338155,5,-1
49,47,76.44819229,4,-1
11,23,39.17853591,1,1
3,17,23.98096595,1,1
44,48,76.5721307,4,0
43,85,70.07090897,4,-1
35,49,56.31496378,3,-1
14,26,19.18798168,1,1
0,40,45.95635202,1,0
26,22,43.3047337,1,1
31,17,34.75668253,2,1
8,27,42.60258964,2,1
35,22,34.69455644,1,1
40,63,65.64869079,5,-1
54,83,79.85482285,3,0
12,71,67.93807841,5,-1
4,36,45.06882717,0,1
19,50,69.01370341,5,-1
25,39,29.70642573,2,1
30,43,94.38408249,5,-1
23,69,93.99763235,5,-1
16,46,40.38090805,0,1
24,24,32.62507302,2,1
33,65,73.05128996,4,0
23,19,40.14706617,1,1
48,88,96.88407519,3,-1
45,79,82.87806068,3,0
13,23,47.43320306,2,1
19,33,44.95947552,2,1
55,40,71.33609708,4,0
14,15,51.53748209,1,1
16,44,48.93157334,1,1
48,86,86.14947437,3,-1
45,51,60.59918233,4,-1
38,56,68.87690866,4,-1
48,29,63.8687736,3,-1
40,52,78.13865626,4,0
28,46,78.16687896,5,-1
31,59,70.62932263,5,-1
16,31,21.39675648,1,1
26,29,48.05182123,1,0
44,46,70.88116037,5,0
23,26,47.04840104,0,0
19,31,41.25152816,2,1
21,23,43.53539923,1,1
14,30,40.55239307,1,1
18,28,55.5963013,1,1
22,24,50.34400331,1,1
67,48,79.73541384,3,-1
12,29,37.61697447,2,1
13,16,57.5835183,1,1
6,54,52.90293286,1,1
18,29,43.32448334,0,1
14,32,51.41570306,0,1
41,62,73.01555505,4,-1
38,41,32.01106543,2,1
23,15,39.18931721,0,1
43,90,65.82384663,3,-1
25,56,96.46663805,3,0
16,30,62.78491488,2,1
10,43,41.71134399,0,1
44,68,68.30804907,4,-1
23,11,34.90117216,1,1
40,86,71.05214238,3,-1
4,35,66.16351772,0,1
15,22,72.36024669,1,1
33,92,95.96683986,4,0
41,43,80.58249889,4,-1
13,27,60.46646745,1,1
29,58,86.4395062,5,-1
34,70,78.35314408,3,0
21,18,49.59185708,0,1
18,20,38.90010076,2,1
28,91,56.76613226,3,-1
44,32,75.95462649,5,-1
39,54,82.47327725,4,-1
35,60,86.07101269,4,0
42,64,60.96904203,4,0
38,75,84.62216896,5,0
15,44,24.17442477,1,1
28,31,62.90197674,0,1
11,23,55.99206522,0,1
29,70,79.54220809,3,-1
26,46,26.49566864,2,1
53,51,69.60846959,4,-1
10,24,55.72835827,2,1
28,36,38.45157018,0,1
48,48,78.96588208,5,0
36,50,90.68717289,4,-1
33,82,72.23939371,5,-1
25,27,58.95489921,1,1
54,45,95.83099944,5,-1
22,26,62.20353593,2,0
43,54,79.02767318,5,-1
22,35,39.77514804,0,1
46,95,90.74105795,5,-1
36,95,78.83261887,5,0
14,25,26.49156937,2,1
20,28,56.45997016,0,1
45,48,75.1260572,4,-1
28,15,37.18022512,2,0
50,60,92.90124855,4,-1
12,26,55.58151535,1,1
44,77,75.63387832,3,-1
45,65,78.88684905,3,0
62,40,64.49647186,5,-1
48,75,84.87147801,5,-1
17,31,26.95951425,1,1
21,25,81.23153788,0,0
17,35,44.91123857,1,1
36,61,60.2529646,3,-1
40,41,81.29138847,5,-1
11,25,61.97050046,0,0
11,43,82.2273937,2,1
11,21,65.3500226,0,1
25,23,40.86233508,2,1
39,30,47.82598069,0,1
18,42,31.7468935,1,1
20,21,37.58356465,2,1
16,34,52.69660015,0,1
26,59,68.30003239,3,0
41,56,71.71175577,5,-1
28,51,80.27770363,4,0
20,37,47.57791084,0,0
19,44,42.58094683,1,0
44,58,70.62879421,4,-1
14,16,36.59014928,0,1
25,24,45.47805436,1,1
29,48,73.36035408,3,-1
31,29,27.156316,0,1
10,35,45.43895865,0,1
22,25,48.64605936,0,1
33,75,89.80507271,4,-1
36,53,65.4203242,3,-1
56,48,66.02189504,4,-1
27,47,79.18685987,4,-1
0,29,35.36118471,0,0
9,17,57.51911211,2,1
19,50,36.09343973,1,1
26,21,42.85034024,0,1
38,33,73.99118543,4,-1
35,39,18.11162165,0,1
25,38,46.6108302,2,1
16,4,21.93661566,0,1
43,63,70.3664129,5,-1
46,37,68.06434401,3,-1
18,44,77.86711742,1,1
24,26,26.23032106,0,1
36,27,33.46649367,1,1
13,33,71.57737068,0,1
11,34,54.59664994,1,0
50,83,83.42301377,3,-1
13,18,31.72268374,0,1
38,70,69.47470638,4,-1
20,69,70.89487935,3,-1
25,27,43.69102859,1,1
8,30,40.40009354,1,0
34,64,77.26066399,3,-1
38,7,34.19937997,0,1
42,29,82.85011791,5,-1
29,31,40.68787072,2,1
34,57,68.72795145,3,-1
20,36,32.59976099,0,1
43,57,88.07947889,3,-1
15,11,67.65388353,2,0
5,23,30.08861055,1,1
15,29,59.28085562,1,1
33,65,58.41402167,3,-1
53,65,93.80420238,4,-1
28,11,27.85817427,1,1
28,19,52.21713881,2,0
10,38,46.45005538,1,1
21,10,42.3781324,0,1
40,36,43.3570847,1,1
30,71,93.55132648,4,-1
28,15,60.47059524,2,1
24,19,62.870086,0,1
59,44,71.96879245,3,0
39,74,89.51089268,3,-1
28,46,80.08463297,3,-1
7,28,35.64490799,2,1
26,27,30.78078156,2,1
29,34,71.56650809,4,-1
10,26,44.26868142,1,1
21,59,72.61419534,3,-1
20,39,57.17576262,2,1
25,40,20.00124245,2,1
19,27,20.12356453,0,1
58,79,83.0836564,5,-1
26,21,35.47587177,1,0
30,56,56.98701428,1,0
7,44,62.09638856,1,1
30,35,50.34323016,0,1
26,15,55.31652529,2,1
8,23,32.31461493,2,1
40,71,79.09550154,5,-1
28,42,79.54405213,5,-1
14,18,18.76744741,2,0
35,24,68.98337722,4,-1
21,35,69.9146094,1,1
37,30,25.38400951,0,1
29,58,67.78191046,3,-1
18,17,39.18301994,0,1
44,32,73.78157836,3,-1
34,65,78.4168473,5,-1
38,46,81.96486884,4,-1
16,49,68.92401079,0,1
18,16,31.58585396,0,1
